idx,company,address,tax1,tax2,tax3,website,lat,lng
114,ReSource,"Oakland, CA",Circular Economy,Materials,Carbon/CCUS,https://tomkat.stanford.edu/translation/resource,,
115,Scope Zero,"San Francisco, CA",Finance,IoT/IIoT,Carbon/CCUS,https://tomkat.stanford.edu/innovation-transfer/scopezero,,
116,SHYFT Power Solutions,"San Francisco, CA",IoT/IIoT,Energy Systems/Management,Energy Efficiency,https://shyftpower.com/,,
117,SkyCool,"Mountain View, CA",Enabling Technologies/Components,Thermal/Geothermal,,https://www.skycoolsystems.com/,,
118,SOURCE Climate Solutions,"Palo Alto, CA",Built Environment/Construction,Energy Efficiency,,https://tomkat.stanford.edu/innovation-transfer/source-climate-solutions,,
119,Spark Thermionics,"Berkeley, CA",Enabling Technologies/Components,Energy Efficiency,Utility/Grid,https://www.sparkthermionics.com/,,
120,Tandem PV,"Los Altos, CA",Solar,Chemistry,Enabling Technologies/Components,https://www.tandempv.com/,,
121,TruckLabs,"Phoenix, AZ",Energy Efficiency,Transportation/MaaS,,https://www.trucklabs.com/,,
122,Twelve,"San Francisco Bay Area, CA",Circular Economy,Manufacturing,Carbon/CCUS,https://www.twelve.co/,,
123,Vellex Computing,"San Francisco, CA",Enabling Technologies/Components,Utility/Grid,IoT/IIoT,https://www.vellex.io/,,
124,VERNE,"San Francisco, CA",Storage/Batteries,Chemistry,Enabling Technologies/Components,https://www.verneh2.com/,,
125,WeaveGrid,"San Francisco, CA",IoT/IIoT,Transportation/MaaS,Utility/Grid,https://www.weavegrid.com/,,
126,WindBorne Systems,"Palo Alto, CA",Wind,IoT/IIoT,Generation/Transmission,https://windbornesystems.com/,,
127,Working Trees,"San Francisco Bay Area, CA",IoT/IIoT,Finance,Carbon/CCUS,https://www.workingtrees.com/,,
128,XFlow,"Seattle, WA",Wind,Generation/Transmission,,https://www.xflowenergy.com/,,
129,Feon Energy,"Woburn, MA",Enabling Technologies/Components,Storage/Batteries,Materials,https://www.feonenergy.com/,,
130,Terradot,"San Francisco, CA",Ag/Food-tech,Carbon/CCUS,Energy Systems/Management,https://tomkat.stanford.edu/innovation-transfer/terradot,,
131,Mawa Modular,CA,Solar,Built Environment/Construction,,https://www.mawamodular.com/,,
132,Perseus Materials,"Stanford, CA",Wind,Manufacturing,Enabling Technologies/Components,https://tomkat.stanford.edu/innovation-transfer/perseus,,
133,Revivo,CA,IoT/IIoT,Circular Economy,,https://revivokenya.com/,,
134,Suryodaya,CA,Solar,Ag/Food-tech,,https://tomkat.stanford.edu/innovation-transfer/suryodaya,,
135,VISDOM,CA,Utility/Grid,IoT/IIoT,Energy Efficiency,https://tomkat.stanford.edu/innovation-transfer/visdom,,
136,RockFix,CA,Carbon/CCUS,Storage/Batteries,Environmental Remediation,https://rockfix.co/,,
137,OXO,CA,IoT/IIoT,Transportation/MaaS,,https://joinoxo.com/,,
138,Yocto,"Stanford, CA",Enabling Technologies/Components,IoT/IIoT,Environmental Remediation,https://tomkat.stanford.edu/innovation-transfer/yocto,,
139,Terrapin Geothermics,"Edmonton, Alberta, Canada",Thermal/Geothermal,Energy Systems/Management,Oil and Gas,https://www.terrapingeo.com/,,
140,Magno Motors,"Palo Alto, CA",Transportation/MaaS,Enabling Technologies/Components,,https://tomkat.stanford.edu/innovation-transfer/magno-motors,,
141,Nitricity,"San Francisco, CA",Environmental Remediation,Chemistry,Ag/Food-tech,https://tomkat.stanford.edu/innovation-transfer/nitricity,,
142,WasteWizer Technologies,"Atlanta, Georgia",IoT/IIoT,Circular Economy,Manufacturing,https://wastewizer.com/,,
143,Veloce Energy,"Los Angeles, CA",Storage/Batteries,Built Environment/Construction,IoT/IIoT,https://www.veloceenergy.com/,,
144,Kapacity.io,"Helsinki, Finland",Built Environment/Construction,Energy Efficiency,IoT/IIoT,https://kapacity.io/,,
145,Sonocharge Energy,CA,Storage/Batteries,REEs,Carbon/CCUS,http://sonocharge.com/,,
146,Citrimer,"Ann Harbor, MI",Materials,Circular Economy,Manufacturing,https://mobile.twitter.com/ZellLurie/status/1616501360006164480,,
147,Crystal Sonic,"Phoenix, AZ",Manufacturing,Materials,Circular Economy,https://xtalsonic.com/,,
148,Enkoat,"Phoenix, AZ",Materials,Built Environment/Construction,Thermal/Geothermal,https://enkoat.com/,,
149,BioSqueeze Inc.,"Butte, Montana",Oil and Gas,Materials,Environmental Remediation,https://biosqueeze.com/,,
150,Bootbox,"Boxford, Mass",Thermal/Geothermal,Energy Efficiency,Enabling Technologies/Components,https://bootboxlabs.com/,,
151,Clenersys,"Westwood, Mass",Hydrogen,Enabling Technologies/Components,,https://clenersys.com/,,
